Postal Code,State,Primary_city,Zone
10172,NY,New York City,NJ-EDS-B
10173,NY,New York City,NJ-EDS-B
10174,NY,New York City,NJ-EDS-B
10175,NY,New York City,NJ-EDS-B
10176,NY,New York City,NJ-EDS-B
10177,NY,New York City,NJ-EDS-B
10178,NY,New York City,NJ-EDS-B
10179,NY,New York City,NJ-EDS-B
10199,NY,New York City,NJ-EDS-B
10203,NY,New York City,NJ-EDS-B
10211,NY,New York City,NJ-EDS-B
10212,NY,New York City,NJ-EDS-B
10213,NY,New York City,NJ-EDS-B
10256,NY,New York City,NJ-EDS-B
10258,NY,New York City,NJ-EDS-B
10259,NY,New York City,NJ-EDS-B
10260,NY,New York City,NJ-EDS-B
10261,NY,New York City,NJ-EDS-B
10265,NY,New York City,NJ-EDS-B
10269,NY,New York City,NJ-EDS-B
10270,NY,New York City,NJ-EDS-B
10271,NY,New York City,NJ-EDS-B
10273,NY,New York City,NJ-EDS-B
10275,NY,New York City,NJ-EDS-B
10277,NY,New York City,NJ-EDS-B
10278,NY,New York City,NJ-EDS-B
10279,NY,New York City,NJ-EDS-B
10280,NY,New York City,NJ-EDS-B
10281,NY,New York City,NJ-EDS-B
10282,NY,New York City,NJ-EDS-B
10285,NY,New York City,NJ-EDS-B
10286,NY,New York City,NJ-EDS-B
10301,NY,Staten Island,NJ-EDS-B
10302,NY,Staten Island,NJ-EDS-B
10303,NY,Staten Island,NJ-EDS-B
10304,NY,Staten Island,NJ-EDS-B
10305,NY,Staten Island,NJ-EDS-B
10306,NY,Staten Island,NJ-EDS-B
10307,NY,Staten Island,NJ-EDS-B
10308,NY,Staten Island,NJ-EDS-B
10309,NY,Staten Island,NJ-EDS-B
10310,NY,Staten Island,NJ-EDS-B
10311,NY,Staten Island,NJ-EDS-B
10312,NY,Staten Island,NJ-EDS-B
10314,NY,Staten Island,NJ-EDS-B
10451,NY,Bronx,NJ-EDS-B
10452,NY,Bronx,NJ-EDS-B
10453,NY,Bronx,NJ-EDS-B
10454,NY,Bronx,NJ-EDS-B
10455,NY,Bronx,NJ-EDS-B
10456,NY,Bronx,NJ-EDS-B
10457,NY,Bronx,NJ-EDS-B
10458,NY,Bronx,NJ-EDS-B
10459,NY,Bronx,NJ-EDS-B
10460,NY,Bronx,NJ-EDS-B
10461,NY,Bronx,NJ-EDS-B
10462,NY,Bronx,NJ-EDS-B
10463,NY,Bronx,NJ-EDS-B
10464,NY,Bronx,NJ-EDS-B
10465,NY,Bronx,NJ-EDS-B
10466,NY,Bronx,NJ-EDS-B
10467,NY,Bronx,NJ-EDS-B
10468,NY,Bronx,NJ-EDS-B
10469,NY,Bronx,NJ-EDS-B
10470,NY,Bronx,NJ-EDS-B
10471,NY,Bronx,NJ-EDS-B
10472,NY,Bronx,NJ-EDS-B
10473,NY,Bronx,NJ-EDS-B
10474,NY,Bronx,NJ-EDS-B
10475,NY,Bronx,NJ-EDS-B
10502,NY,Ardsley,NJ-EDS-B
10504,NY,Armonk,NJ-EDS-B
10510,NY,Briarcliff Manor,NJ-EDS-B
10514,NY,Chappaqua,NJ-EDS-B
10520,NY,Croton On Hudson,NJ-EDS-B
10522,NY,Dobbs Ferry,NJ-EDS-B
10523,NY,Elmsford,NJ-EDS-B
10528,NY,Harrison,NJ-EDS-B
10530,NY,Hartsdale,NJ-EDS-B
10532,NY,Hawthorne,NJ-EDS-B
10533,NY,Irvington,NJ-EDS-B
10538,NY,Larchmont,NJ-EDS-B
